1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average
Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Every day,High stress,Poor
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Every day,High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Below Average
Second year,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Sometimes,Sometimes,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Below Average
Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Sometimes,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Graduate student,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Very poor,Always,Always,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
First year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Third year,Female,Every night,More than 8 hours,Every night,Very poor,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Third year,Male,Every night,7-8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Third year,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Third year,Female,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
Graduate student,Female,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Every night,Every day,Sometimes (3-4 times a week),Extremely high stress,Below Average
First year,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Never,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
